question,sqlstatement,relevant_tables
Which actors have the last name Smith?,"SELECT first_name, last_name FROM actor WHERE last_name = 'Smith';",['actor']
List the actors whose last name is Smith.,"SELECT first_name, last_name FROM actor WHERE last_name = 'Smith';",['actor']
Show me the first and last names of actors with the surname Smith.,"SELECT first_name, last_name FROM actor WHERE last_name = 'Smith';",['actor']
Who are the actors whose last name equals Smith?,"SELECT first_name, last_name FROM actor WHERE last_name = 'Smith';",['actor']
"Give me the actors named Smith by last name, including first and last name.","SELECT first_name, last_name FROM actor WHERE last_name = 'Smith';",['actor']
Show me all film titles from 2006.,SELECT title FROM film WHERE release_year = '2006';,['film']
Give me the titles of every film released in 2006.,SELECT title FROM film WHERE release_year = '2006';,['film']
Return all movie titles for the year 2006.,SELECT title FROM film WHERE release_year = '2006';,['film']
I need the titles of films that came out in 2006.,SELECT title FROM film WHERE release_year = '2006';,['film']
List the titles of all films with a release year of 2006.,SELECT title FROM film WHERE release_year = '2006';,['film']
List the films whose rental rate is greater than 4.99.,"SELECT title, rental_rate FROM film WHERE rental_rate::numeric > 4.99;",['film']
Which films have a rental rate above 4.99?,"SELECT title, rental_rate FROM film WHERE rental_rate::numeric > 4.99;",['film']
Show me the titles and rental rates for films with rental rates over 4.99.,"SELECT title, rental_rate FROM film WHERE rental_rate::numeric > 4.99;",['film']
"Return the films that cost more than 4.99 to rent, along with their rental rates.","SELECT title, rental_rate FROM film WHERE rental_rate::numeric > 4.99;",['film']
Find films where the rental rate is above 4.99 and display the title and rental rate.,"SELECT title, rental_rate FROM film WHERE rental_rate::numeric > 4.99;",['film']
Which films are longer than 180 minutes?,SELECT title FROM film WHERE length::numeric > 180;,['film']
What films have a runtime greater than 180 minutes?,SELECT title FROM film WHERE length::numeric > 180;,['film']
List the films that run for more than 180 minutes.,SELECT title FROM film WHERE length::numeric > 180;,['film']
Show me the titles of films whose length is over 180 minutes.,SELECT title FROM film WHERE length::numeric > 180;,['film']
Which movie titles have a length above 180 minutes?,SELECT title FROM film WHERE length::numeric > 180;,['film']
Which actors have the last name Smith?,"SELECT first_name, last_name FROM actor WHERE last_name = 'Smith';",['actor']
Show me the first and last names of actors whose last name is Smith.,"SELECT first_name, last_name FROM actor WHERE last_name = 'Smith';",['actor']
"List all actors with the surname Smith, including their first and last names.","SELECT first_name, last_name FROM actor WHERE last_name = 'Smith';",['actor']
Who in the actor list has last name Smith?,"SELECT first_name, last_name FROM actor WHERE last_name = 'Smith';",['actor']
Return the first and last names for every actor named Smith by last name.,"SELECT first_name, last_name FROM actor WHERE last_name = 'Smith';",['actor']
How many films are there in the catalog?,SELECT COUNT(*) AS film_count FROM film;,['film']
What is the total number of films in the catalog?,SELECT COUNT(*) AS film_count FROM film;,['film']
Can you tell me how many films are listed in the catalog?,SELECT COUNT(*) AS film_count FROM film;,['film']
Please give me the count of films in the catalog.,SELECT COUNT(*) AS film_count FROM film;,['film']
How many films does the catalog contain?,SELECT COUNT(*) AS film_count FROM film;,['film']
What is the average rental rate of all films?,SELECT AVG(rental_rate::numeric) AS average_rental_rate FROM film;,['film']
What is the average rental rate across every film?,SELECT AVG(rental_rate::numeric) AS average_rental_rate FROM film;,['film']
Can you tell me the average rental rate for all films?,SELECT AVG(rental_rate::numeric) AS average_rental_rate FROM film;,['film']
Please provide the average rental rate of the films in the catalog.,SELECT AVG(rental_rate::numeric) AS average_rental_rate FROM film;,['film']
What average rental rate do all films have?,SELECT AVG(rental_rate::numeric) AS average_rental_rate FROM film;,['film']
Which film has the highest replacement cost?,SELECT title FROM film ORDER BY replacement_cost DESC LIMIT 1;,['film']
What is the title of the film with the greatest replacement cost?,SELECT title FROM film ORDER BY replacement_cost DESC LIMIT 1;,['film']
Which movie comes out on top when films are sorted by replacement cost from highest to lowest?,SELECT title FROM film ORDER BY replacement_cost DESC LIMIT 1;,['film']
Give me the title of the film with the largest replacement cost.,SELECT title FROM film ORDER BY replacement_cost DESC LIMIT 1;,['film']
Which film should be listed first if the films are ordered by replacement cost descending?,SELECT title FROM film ORDER BY replacement_cost DESC LIMIT 1;,['film']
Which movie has the shortest runtime?,"SELECT title FROM film ORDER BY length::integer ASC, title ASC LIMIT 1;",['film']
What is the title of the film with the shortest length?,"SELECT title FROM film ORDER BY length::integer ASC, title ASC LIMIT 1;",['film']
Which film comes first when the films are ordered by length from shortest to longest?,"SELECT title FROM film ORDER BY length::integer ASC, title ASC LIMIT 1;",['film']
Give me the title of the shortest film.,"SELECT title FROM film ORDER BY length::integer ASC, title ASC LIMIT 1;",['film']
"Among all films, which one has the least length?","SELECT title FROM film ORDER BY length::integer ASC, title ASC LIMIT 1;",['film']
What is the single film with the shortest runtime?,"SELECT title FROM film ORDER BY length::integer ASC, title ASC LIMIT 1;",['film']
"Which movie comes first when films are sorted by runtime from shortest to longest, with title used to break ties?","SELECT title FROM film ORDER BY length::integer ASC, title ASC LIMIT 1;",['film']
"Show the title of the shortest film, using alphabetical order by title if there is a tie on runtime.","SELECT title FROM film ORDER BY length::integer ASC, title ASC LIMIT 1;",['film']
"Which film has the lowest length value, with titles sorted ascending when runtimes are equal?","SELECT title FROM film ORDER BY length::integer ASC, title ASC LIMIT 1;",['film']
Return the title of the film at the top of the list when all films are ordered by runtime ascending and then by title ascending.,"SELECT title FROM film ORDER BY length::integer ASC, title ASC LIMIT 1;",['film']
How many actors are recorded in the database?,SELECT COUNT(*) AS actor_count FROM public.actor;,['actor']
